age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_sleep_ratio,screen_time_intensity,commit_bug_ratio,work_category
26.0,12.0,10.33,4.45,2.0,11.0,4.0,1.0,15.07,0.14,55.96,1,2.2703296703296703,1.4448705656759349,0.3603603603603604,2
39.0,10.0,8.62,5.77,5.0,15.0,11.0,5.0,13.25,0.54,82.22,2,1.4684838160136287,1.519495412844037,0.728476821192053,1
34.0,13.0,8.99,4.03,5.0,2.0,18.0,9.0,11.18,1.54,61.77,1,2.176755447941889,1.2299229922992299,8.571428571428571,2
30.0,1.0,6.85,6.47,2.0,15.0,26.0,1.0,11.14,0.96,54.98,1,1.0426179604261796,1.602877697841727,1.7218543046357617,1
27.0,7.0,4.24,5.8,4.0,9.0,17.0,7.0,8.05,0.36,27.9,0,0.7186440677966103,1.8548387096774195,1.8681318681318682,0
40.0,2.0,10.25,6.78,0.0,19.0,27.0,4.0,15.15,0.78,51.06,1,1.489825581395349,1.463768115942029,1.413612565445026,1
26.0,10.0,6.53,7.6,6.0,4.0,11.0,9.0,9.38,0.54,39.09,1,0.8480519480519482,1.4147812971342384,2.682926829268293,0
38.0,0.0,10.69,5.25,5.0,12.0,2.0,2.0,14.58,0.1,77.68,2,1.9981308411214953,1.3512511584800742,0.1652892561983471,1
42.0,18.0,11.47,4.79,4.0,11.0,25.0,1.0,14.54,1.53,73.56,2,2.34560327198364,1.2566983578219533,2.2522522522522523,2
30.0,17.0,13.16,5.39,3.0,0.0,3.0,3.0,14.44,0.58,46.78,1,2.3970856102003646,1.0889894419306183,30.0,2
30.0,16.0,13.58,4.01,2.0,19.0,14.0,7.0,14.77,1.89,100.0,2,3.304136253041363,1.0796783625730995,0.7329842931937173,3
43.0,19.0,4.11,4.6,5.0,10.0,14.0,0.0,5.6,1.78,26.76,0,0.8744680851063832,1.330166270783848,1.3861386138613863,0
32.0,12.0,13.9,7.75,6.0,18.0,10.0,9.0,16.08,1.43,100.0,2,1.7707006369426752,1.1485714285714284,0.5524861878453038,1
23.0,2.0,10.83,5.11,0.0,14.0,1.0,2.0,12.87,0.65,81.94,2,2.0786948176583495,1.1774931381518756,0.07092198581560284,2
27.0,0.0,10.44,8.97,2.0,17.0,17.0,0.0,14.35,0.56,48.65,1,1.1510474090407938,1.3614800759013284,0.9941520467836257,1
